[3.17942530e-01 6.63877964e-01 1.20243389e-08],[ 0.32906446  0.6753425  -0.00929747],[ 0.33329302  0.69357562 -0.01083472],[ 0.3345412   0.71108907 -0.01018363],[ 0.33681589  0.72521138 -0.00846737],[ 0.31953502  0.70684606 -0.00194357],[3.22235644e-01 7.26562023e-01 1.53710178e-04],[0.32881278 0.73077536 0.00090765],[0.33312899 0.72918069 0.00165663],[0.3152979  0.70465773 0.00424453],[0.31939745 0.72252041 0.00848482],[0.32681233 0.72620434 0.00927084],[0.33208561 0.72447556 0.00908457],[0.3139213  0.70154083 0.00954261],[0.31833282 0.71667856 0.0128132 ],[0.32463661 0.71968663 0.0127169 ],[0.32975915 0.71889716 0.01192259],[0.31396833 0.69946074 0.0140774 ],[0.31803352 0.71208239 0.01611352],[0.32286677 0.71517509 0.01646347],[0.32729477 0.71452457 0.01647901]
[ 2.37338871e-01  4.47751194e-01 -7.79984077e-08],[ 0.24593768  0.45427734 -0.01194487],[ 0.25549203  0.45201924 -0.0190563 ],[ 0.25856009  0.44619101 -0.02507465],[ 0.25911358  0.43833029 -0.03037092],[ 0.25587812  0.42165077 -0.01321599],[ 0.25662339  0.41467845 -0.02286497],[ 0.25192827  0.42368689 -0.02849964],[ 0.24911918  0.43183982 -0.03115388],[ 0.24619608  0.41535482 -0.01065702],[ 0.24363439  0.40944284 -0.02038418],[ 0.23862889  0.42363575 -0.02380094],[ 0.23821355  0.43365207 -0.02443499],[ 0.23711552  0.41259885 -0.00946544],[ 0.2342612   0.40707231 -0.01935578],[ 0.22985375  0.42081109 -0.02047388],[ 0.22974338  0.43166733 -0.01890005],[ 0.22866471  0.41252351 -0.00902397],[ 0.22435789  0.4082135  -0.01642199],[ 0.22177146  0.41750678 -0.01732355],[ 0.22253068  0.42624086 -0.0161901 ]
[2.84319937e-01 4.63533819e-01 1.18560230e-07],[ 0.28269532  0.45181805 -0.0066872 ],[ 0.27547705  0.44307277 -0.01021202],[ 0.26637655  0.43821365 -0.01290082],[ 0.25774771  0.43412408 -0.01478383],[ 0.2605896   0.45994121 -0.00582962],[ 0.25703415  0.44884723 -0.0132746 ],[ 0.25857815  0.43693233 -0.01877887],[ 0.26118025  0.42863426 -0.02150359],[ 0.25321037  0.46186215 -0.00441465],[ 0.24866734  0.44735599 -0.01032532],[ 0.25015748  0.43422461 -0.01379151],[ 0.25223455  0.42485207 -0.01557568],[ 0.2489356   0.46167603 -0.00400008],[ 0.24239095  0.44869423 -0.00932705],[ 0.24318025  0.43545631 -0.0113603 ],[ 0.24519742  0.42589906 -0.01186044],[ 0.24719501  0.46094698 -0.00414351],[ 0.24110298  0.45045698 -0.00769805],[ 0.24053106  0.43936044 -0.00863142],[ 0.24181527  0.43060645 -0.00857799],[ 2.38438234e-01  4.56139624e-01 -5.87676539e-08],[ 0.24591562  0.46428651 -0.01054013],[ 0.25546908  0.46612209 -0.01774307],[ 0.26113605  0.46502408 -0.02424105],[ 0.26552609  0.46121967 -0.03030985],[ 0.26020607  0.44055402 -0.01450988],[ 0.26526368  0.43170393 -0.02509896],[ 0.26287773  0.43953896 -0.03078347],[ 0.26071218  0.44668525 -0.0333334 ],[ 0.25044486  0.43316141 -0.01312175],[ 0.2514441   0.42577642 -0.02382234],[ 0.24796954  0.44116184 -0.02621523],[ 0.24716547  0.45080981 -0.02610502],[ 0.24086764  0.42912012 -0.01295675],[ 0.24124172  0.42324474 -0.02332066],[ 0.23817722  0.4388417  -0.0222281 ],[ 0.23752354  0.44843689 -0.0192434 ],[ 0.23143539  0.42758149 -0.01349637],[ 0.22960843  0.42137957 -0.02076705],[ 0.2280378   0.43330258 -0.01983536],[ 0.2284307   0.44189325 -0.01753141]
[ 2.46511385e-01  4.72732395e-01 -1.03537978e-07],[ 0.2546277   0.47711524 -0.00719044],[ 0.26471373  0.47575796 -0.01218083],[ 0.27109355  0.47483101 -0.01697715],[ 0.27746356  0.47492918 -0.02119893],[ 0.26642439  0.45930147 -0.01090979],[ 0.27048361  0.45503902 -0.02178286],[ 0.26623732  0.47029105 -0.02750523],[ 0.26304623  0.48125294 -0.02978182],[ 0.25639561  0.45360243 -0.01120713],[ 0.25855982  0.4488554  -0.02147522],[ 0.25454503  0.46716362 -0.02341382],[ 0.25312567  0.47820443 -0.02325857],[ 0.24649504  0.45014536 -0.01273136],[ 0.24803348  0.44485635 -0.02265459],[ 0.24513838  0.46216837 -0.02113437],[ 0.24448393  0.47264531 -0.01822756],[ 0.23674153  0.44868782 -0.01477398],[ 0.23502398  0.44362393 -0.02141463],[ 0.23409066  0.45651647 -0.0202697 ],[ 0.23498428  0.46585244 -0.01827735]
[ 2.62000948e-01  4.60489839e-01 -4.42566801e-08],[ 0.26872957  0.47106859 -0.00539728],[ 0.27151632  0.48609602 -0.01232687],[ 0.27103242  0.49832648 -0.01937083],[ 0.27111748  0.50782424 -0.02691708],[ 0.27252641  0.47391608 -0.01688695],[ 0.27280226  0.48948947 -0.02747372],[ 0.27161705  0.50065958 -0.03409266],[ 0.27055299  0.5076766  -0.03765234],[ 0.26197842  0.46917135 -0.01876098],[ 0.2599203   0.4888745  -0.02644925],[ 0.26007792  0.49769834 -0.02778996],[ 0.26142046  0.49906251 -0.02927984],[ 0.2517384   0.46747687 -0.02090416],[ 0.2496639   0.48527128 -0.02771182],[ 0.25065324  0.49378276 -0.02578204],[ 0.25283033  0.49541205 -0.024486  ],[ 0.2428863   0.4675079  -0.02368261],[ 0.23856424  0.48246902 -0.02809593],[ 0.24001989  0.4904201  -0.02601073],[ 0.24240531  0.49323919 -0.02460723]
[2.67353684e-01 4.65003431e-01 9.55586614e-08],[ 0.26969504  0.47673422 -0.00230023],[ 0.26864329  0.49186543 -0.00452493],[ 0.26605833  0.50456166 -0.00628865],[ 0.263475    0.51340336 -0.00768455],[ 0.27123129  0.49113849 -0.00767263],[ 0.27275592  0.50759649 -0.01144378],[ 0.27169088  0.51895738 -0.0131157 ],[ 0.27018076  0.52632111 -0.0137824 ],[ 0.26601675  0.49040261 -0.0080952 ],[ 0.26430649  0.50573874 -0.01185049],[ 0.26170811  0.51729512 -0.01297549],[ 0.25997987  0.52442586 -0.01341072],[ 0.25978419  0.48952642 -0.0085553 ],[ 0.25560114  0.5027166  -0.01181657],[ 0.25344303  0.5142796  -0.01288938],[ 0.25273615  0.52217191 -0.01316643],[ 0.25303236  0.48877975 -0.00904938],[ 0.24648547  0.50050354 -0.01151985],[ 0.24471895  0.51078922 -0.01244091],[ 0.24459779  0.51898193 -0.01269081]
[2.65567034e-01 5.08650482e-01 1.36417411e-08],[ 0.27534592  0.52169651 -0.00461063],[ 0.28348815  0.53283596 -0.00971345],[ 0.28435752  0.54417759 -0.01404793],[ 0.27983898  0.55207014 -0.01801895],[ 0.2791416   0.5191825  -0.01600015],[ 0.27993408  0.5323838  -0.0229285 ],[ 0.27677116  0.54393566 -0.02657779],[ 0.27481946  0.55033463 -0.02853515],[ 0.26787856  0.5140239  -0.01636589],[ 0.26698393  0.52873462 -0.02227674],[ 0.26411456  0.54041564 -0.02272858],[ 0.26391697  0.54472548 -0.02323185],[ 0.25753424  0.51098543 -0.01672766],[ 0.2562587   0.52399623 -0.02249628],[ 0.25367025  0.53432524 -0.02181887],[ 0.25415027  0.53845853 -0.02086709],[ 0.2487143   0.50907701 -0.0172985 ],[ 0.2443094   0.52044314 -0.02278614],[ 0.24316394  0.53010362 -0.02349642],[ 0.24447992  0.53551036 -0.02349655]
[2.66455233e-01 5.06013632e-01 9.13582454e-08],[ 0.27368885  0.52215564 -0.00197985],[ 0.27780777  0.54071558 -0.00560356],[ 0.27952191  0.55565286 -0.00878558],[ 0.27900362  0.56749523 -0.0118382 ],[ 0.278065    0.53501123 -0.01188749],[ 0.27975762  0.54910755 -0.01768182],[ 0.27668342  0.56033212 -0.02082537],[ 0.27294409  0.56767356 -0.02259789],[ 0.27003628  0.53022659 -0.01380956],[ 0.26611131  0.54950655 -0.01952488],[ 0.26421371  0.55811167 -0.02064057],[ 0.26357993  0.56097841 -0.02114636],[ 0.26077688  0.52548051 -0.01547817],[ 0.2557855   0.54355276 -0.02029878],[ 0.25384995  0.55295384 -0.019772  ],[ 0.25344506  0.55668485 -0.01896711],[ 0.25128204  0.52150589 -0.01713298],[ 0.24607562  0.53724587 -0.0205168 ],[ 0.2446557   0.54641747 -0.02011632],[ 0.24461213  0.55169338 -0.01944518]
[2.66642392e-01 5.16353488e-01 9.17792065e-08],[ 0.27467334  0.53286535 -0.00062893],[ 0.27758247  0.54977274 -0.00188127],[ 0.27700719  0.56486297 -0.00300516],[ 0.27478194  0.57578003 -0.00393738],[ 0.27464303  0.55014795 -0.00405012],[ 0.27641222  0.56658113 -0.00656497],[ 0.27531758  0.57646555 -0.00780178],[ 0.27368492  0.58316171 -0.00825458],[ 0.26549405  0.54930252 -0.005104  ],[ 0.26316819  0.56689072 -0.00701223],[ 0.26173639  0.57636732 -0.00778712],[ 0.26094016  0.58224875 -0.00814572],[ 0.25685906  0.5469538  -0.00603786],[ 0.25183651  0.56430209 -0.0079352 ],[ 0.25076342  0.57343203 -0.0080035 ],[ 0.2510193   0.57866871 -0.00774404],[ 0.24934463  0.5432505  -0.00686528],[ 0.24330951  0.55689818 -0.00805913],[ 0.2417794   0.56522578 -0.00746173],[ 0.24183977  0.5708406  -0.00662433]
[ 2.68019825e-01  5.42650104e-01 -1.88622646e-08],[ 0.27976134  0.55909842 -0.00164017],[ 0.28325051  0.57917678 -0.00356522],[ 0.28167325  0.59662664 -0.00484426],[ 0.28028607  0.60964477 -0.00525202],[ 0.27512714  0.5787307  -0.01065723],[ 0.27079058  0.60625005 -0.01492571],[ 0.27284089  0.61384422 -0.0149681 ],[ 0.27552736  0.6110034  -0.01329427],[ 0.26384184  0.57712334 -0.01064675],[ 0.25931901  0.60557681 -0.01365449],[ 0.26251617  0.61209518 -0.01130006],[ 0.26600689  0.60866064 -0.00856581],[ 0.25447339  0.5747183  -0.01030131],[ 0.24963878  0.60009837 -0.01191479],[ 0.25354081  0.60609728 -0.00808535],[ 0.25747302  0.60374326 -0.00451157],[ 0.24743475  0.57153517 -0.01000944],[ 0.24214458  0.59127986 -0.01068966],[ 0.24469376  0.59849548 -0.00802364],[ 0.24803875  0.59881014 -0.00508999],[2.69191444e-01 5.25050163e-01 1.16146786e-07],[ 0.27897838  0.54361868 -0.00166928],[ 0.28188533  0.56199628 -0.0033659 ],[ 0.28047931  0.57865256 -0.00460044],[ 0.27843183  0.59057307 -0.00593639],[ 0.27469701  0.55974948 -0.00733766],[ 0.27434683  0.57750028 -0.0108547 ],[ 0.27331886  0.58961475 -0.01335826],[ 0.27214023  0.60020667 -0.01495516],[ 0.26620919  0.56015354 -0.00807182],[ 0.26136327  0.5770539  -0.01107743],[ 0.25809032  0.59053779 -0.0135702 ],[ 0.25538924  0.60079563 -0.01552131],[ 0.25886893  0.55925876 -0.00847757],[ 0.2536265   0.57518095 -0.01142375],[ 0.25068381  0.58861727 -0.01349596],[ 0.24817772  0.59858865 -0.01482774],[ 0.25305942  0.55743712 -0.00869881],[ 0.2479108   0.57223129 -0.01048419],[ 0.24455851  0.58330452 -0.0109088 ],[ 0.24144249  0.59144902 -0.01112163]

[ 2.74604827e-01  5.91684461e-01 -4.47424959e-08],[ 0.29110557  0.59675974 -0.00674791],[ 0.29826513  0.61629939 -0.00855664],[ 0.29937115  0.63647002 -0.00866931],[ 0.30271366  0.65103543 -0.00770932],[ 0.28510728  0.62778592 -0.00860699],[ 0.28609923  0.65560496 -0.01108548],[ 0.29327413  0.66024029 -0.01135564],[ 0.29818285  0.65795279 -0.01047542],[ 0.27741724  0.62971717 -0.00522548],[ 0.28213772  0.65609711 -0.00646519],[ 0.29090542  0.65912741 -0.00566082],[ 0.29585791  0.65486205 -0.00471055],[ 0.27345103  0.62981027 -0.00220728],[ 0.27903855  0.65332472 -0.00324749],[ 0.2869111   0.65609747 -0.00252868],[ 0.29154852  0.65296072 -0.0016838 ],[2.71627963e-01 6.29843891e-01 3.76037497e-04],[ 2.76271641e-01  6.48846149e-01 -6.35439355e-04],[ 2.82764226e-01  6.53514147e-01 -3.75572301e-04],[2.87427872e-01 6.52135611e-01 2.67973315e-04]
[ 2.84267515e-01  6.11029863e-01 -5.37640510e-08],[ 0.29908985  0.61490518 -0.00676301],[ 0.30664805  0.63233733 -0.00769767],[ 0.30943739  0.65053785 -0.00717585],[ 0.3134158   0.66427517 -0.00554246],[ 0.29558131  0.65013826 -0.00254073],[ 0.29912266  0.67190713 -0.00268491],[ 0.30574006  0.67525303 -0.00286709],[ 0.30975458  0.6731202  -0.00255775],[0.28949076 0.65172565 0.00130386],[0.29609522 0.67061031 0.00230816],[0.3045091  0.67221123 0.00245296],[0.30954474 0.66840619 0.00251936],[0.28660059 0.6509881  0.00443752],[0.29365644 0.66847885 0.00478305],[0.30108264 0.66984636 0.00476028],[0.30592489 0.66747403 0.00474764],[0.285312   0.64981478 0.00704737],[0.29076567 0.66496396 0.00684042],[0.29728666 0.6682744  0.00683098],[0.302573   0.66742134 0.0070535 ],[2.82218844e-01 6.03828132e-01 1.14878524e-08],[ 0.29850015  0.61163092 -0.00484523],[ 0.30652905  0.63031673 -0.00536466],[ 0.3092055   0.64953929 -0.0048352 ],[ 0.31373501  0.66327924 -0.00339492],[ 0.29523036  0.64479488 -0.00176219],[ 0.29835013  0.66762191 -0.00229909],[ 0.30452687  0.67350036 -0.00281372],[ 0.30859232  0.67486173 -0.0028294 ],[0.28838679 0.6474672  0.00067996],[0.29515147 0.66824985 0.0012365 ],[0.30350241 0.67220521 0.0015612 ],[0.3089267  0.6704517  0.00165425],[0.28511676 0.64747763 0.00250937],[0.29253393 0.66635633 0.00244388],[0.30023688 0.66904169 0.00282475],[0.30560747 0.66726804 0.00312368],[0.28389016 0.64648545 0.00390768],[0.28950331 0.6619941  0.00338257],[0.29627186 0.66637892 0.00350318],[0.30183521 0.66651833 0.00384698]
[2.90625900e-01 6.16313040e-01 2.25886971e-08],[ 0.30571625  0.62643677 -0.00844791],[ 0.31370348  0.64532006 -0.00921733],[ 0.31844211  0.66249388 -0.00768701],[ 0.32244775  0.67523277 -0.00487607],[ 0.30179954  0.66251922 -0.00386438],[ 0.30761594  0.68289661 -0.00166017],[ 3.15263152e-01  6.85293138e-01 -1.71961656e-04],[0.32038048 0.68356282 0.00087259],[0.29640946 0.66387349 0.00196797],[0.30503786 0.68129426 0.00495502],[0.31415164 0.6841886  0.00575026],[0.32036334 0.68153548 0.00567144],[0.29432622 0.66192931 0.00723242],[0.30341154 0.67672652 0.00924243],[0.31147206 0.67841589 0.00899224],[0.31749886 0.67605323 0.00829695],[0.29381898 0.65936345 0.0118979 ],[0.30065221 0.67156357 0.01246085],[0.30748689 0.67338902 0.01213221],[0.31314632 0.67177707 0.01192212]
[2.98313141e-01 6.30584717e-01 1.43511318e-08],[ 0.31033927  0.63967693 -0.01055501],[ 0.31830317  0.65696824 -0.01135531],[ 0.32362682  0.67368221 -0.00971263],[ 0.32762274  0.68661714 -0.00670477],[ 0.3108905   0.67758662 -0.00117706],[3.18366081e-01 6.95865035e-01 3.26829177e-04],[3.26030016e-01 6.94180608e-01 2.67846859e-04],[3.29484165e-01 6.89659834e-01 3.21974774e-04],[0.30891484 0.67700547 0.00559987],[0.31752205 0.69200212 0.00825448],[0.32536739 0.69144082 0.00790042],[0.32991937 0.68725443 0.00738127],[0.30876198 0.67341149 0.01115113],[0.31783721 0.68582946 0.01231794],[0.32499927 0.68525946 0.01084375],[0.32966423 0.68296546 0.00966241],[0.30909139 0.66963458 0.01588666],[0.31712782 0.67971706 0.01581224],[0.32312641 0.67894286 0.01503201],[0.32711375 0.67656201 0.01472975]
[3.05034399e-01 6.41722023e-01 3.72078262e-08],[ 0.31441569  0.65196311 -0.01064626],[ 0.32328051  0.66784674 -0.01199221],[ 0.3293851   0.68432707 -0.0110491 ],[ 0.33346671  0.69704568 -0.00889804],[ 0.31713992  0.68542266 -0.00083275],[3.25261384e-01 7.01929450e-01 5.61533787e-04],[3.29262078e-01 7.02067852e-01 5.42085443e-04],[3.30292046e-01 7.00856388e-01 5.31459926e-04],[0.31666407 0.68392503 0.00565193],[0.325827   0.69796658 0.0075064 ],[0.330277   0.69888592 0.00672281],[0.33203417 0.69724047 0.00614908],[0.31710902 0.68048614 0.01091373],[0.32620573 0.69102442 0.01137185],[0.33052519 0.69070053 0.00975501],[0.33241141 0.68976045 0.00877822],[0.3177599  0.67755949 0.0153595 ],[0.32643473 0.6848796  0.01503428],[0.32997555 0.68356395 0.0143248 ],[0.33112377 0.68198228 0.01421045]
[3.13066095e-01 6.51934624e-01 9.91991378e-10],[ 0.32229471  0.66101015 -0.01066814],[ 0.33092788  0.67758411 -0.01152798],[ 0.33730271  0.69475508 -0.01032979],[ 0.34211123  0.70775926 -0.00812278],[0.32590646 0.69503987 0.00091404],[3.34125698e-01 7.09857941e-01 6.50962640e-04],[ 3.38569194e-01  7.06631839e-01 -3.70221474e-04],[ 3.39937896e-01  7.01041281e-01 -3.22193315e-04],[0.32759073 0.69226104 0.00733021],[0.33794165 0.70348644 0.00678375],[0.34181726 0.69722402 0.00456719],[0.34286934 0.68867081 0.00431348],[0.32948956 0.68818021 0.01237064],[0.3392629  0.69567323 0.01037873],[0.34220102 0.68847769 0.00738832],[0.34286651 0.6810441  0.00681571],[0.33083284 0.68452865 0.01674655],[0.33949015 0.68924534 0.01465229],[0.34169039 0.68368441 0.01308296],[0.34171298 0.67810118 0.01326147]
[ 3.22443932e-01  6.58299804e-01 -6.98686176e-09],[ 0.33036169  0.66884995 -0.01047755],[ 0.33853966  0.68511105 -0.01147821],[ 0.34541115  0.70160437 -0.01076462],[ 0.35051149  0.71422607 -0.00927946],[0.33538347 0.70215833 0.00211487],[3.44098538e-01 7.13812113e-01 5.93167613e-04],[ 0.34816527  0.70915389 -0.00151896],[ 0.34841728  0.70255351 -0.00205715],[0.33879426 0.69759083 0.0079731 ],[0.34937462 0.70543987 0.0061313 ],[0.35255966 0.69698381 0.0030071 ],[0.35211864 0.68788129 0.0023426 ],[0.34142414 0.69201213 0.01224925],[0.35104641 0.69760191 0.00910986],[0.3529042  0.68874383 0.00570371],[0.35162461 0.68052471 0.00513247],[0.34282252 0.68684638 0.0158096 ],[0.35076058 0.68943149 0.01289015],[0.35130018 0.68337834 0.01094746],[0.34924257 0.67803276 0.01106317]
[3.33476812e-01 6.65639102e-01 2.61451971e-09],[ 0.34241834  0.67411852 -0.00991186],[ 0.35101485  0.68957424 -0.01042699],[ 0.35793525  0.70412052 -0.00921139],[ 0.36370322  0.71479607 -0.00716192],[0.34777543 0.70777941 0.00145323],[3.56758833e-01 7.19796062e-01 5.66112867e-04],[ 0.36182174  0.71723378 -0.00078557],[ 0.36351323  0.7123751  -0.00091396],[0.35086283 0.70311821 0.00708655],[0.36199763 0.70959693 0.00546627],[0.36565033 0.70198548 0.00281562],[0.36567959 0.69365674 0.00254933],[0.35309526 0.69722319 0.01128855],[0.3635726  0.7012983  0.00844737],[0.36553687 0.6933592  0.00500325],[0.36462247 0.68696928 0.00438822],[0.35408458 0.69206321 0.01480843],[0.36208889 0.69454789 0.01216264],[0.36386281 0.68894386 0.0101116 ],[0.36309552 0.68400669 0.01008803]
[ 3.45259726e-01  6.71542406e-01 -2.42479792e-09],[ 0.35804656  0.67702758 -0.00969673],[ 0.3679561   0.69152969 -0.01016694],[ 0.37508696  0.7064997  -0.00850528],[ 0.3801226   0.71757978 -0.00570895],[ 0.36088228  0.71093732 -0.00099131],[ 3.69654983e-01  7.25936711e-01 -4.21327830e-04],[ 3.76648068e-01  7.23251343e-01 -7.05791763e-06],[0.38014272 0.71777236 0.00079456],[0.35962728 0.70980781 0.00514209],[0.37111622 0.71801275 0.0056861 ],[0.37776002 0.71131229 0.00505823],[0.37974578 0.70308363 0.00531997],[0.35935092 0.70626777 0.01017227],[0.37077439 0.7101     0.00898259],[0.37519488 0.70262301 0.00680849],[0.37601122 0.69537252 0.00631383],[0.35892472 0.70331228 0.01460232],[0.36815706 0.70589721 0.01228264],[0.37208372 0.69980782 0.01056733],[0.37319216 0.69332719 0.01052066]
[3.57042551e-01 6.72631800e-01 3.16377644e-08],[ 0.37243032  0.67528099 -0.00752055],[ 0.38308811  0.69022083 -0.00763112],[ 0.38915101  0.70520657 -0.00579562],[ 0.39463353  0.7165435  -0.0029955 ],[3.75312865e-01 7.08719194e-01 1.76864851e-04],[0.38389361 0.72499633 0.0030401 ],[0.39017144 0.72643626 0.00399755],[0.39334998 0.72466278 0.00470559],[0.37032646 0.70965946 0.00546429],[0.38045627 0.7225852  0.00987311],[0.38789764 0.72387123 0.0104258 ],[0.39198357 0.72050875 0.01020063],[0.36791503 0.70776862 0.00995998],[0.37791824 0.71835011 0.01312907],[0.38440511 0.71902376 0.0127576 ],[0.38847864 0.7171855  0.01191116],[0.36697054 0.70578128 0.01386345],[0.37571472 0.71411312 0.01566742],[0.38100293 0.71497047 0.01588023],[0.38437533 0.71391314 0.01592108]
[ 3.68514359e-01  6.71306908e-01 -1.47233035e-08],[ 0.38574219  0.67132157 -0.00468683],[ 0.39674109  0.6859628  -0.00409127],[ 0.40259889  0.70109481 -0.00223366],[4.08707350e-01 7.11726487e-01 5.61849971e-04],[0.38958973 0.70708013 0.00082273],[0.39720011 0.72400248 0.00293314],[0.40279466 0.72309947 0.00386033],[0.40491146 0.71912861 0.00478432],[0.38264111 0.7101087  0.00434927],[0.39260733 0.72327095 0.00788587],[0.39938205 0.72043699 0.00899576],[0.40211943 0.71477848 0.00944799],[0.37818152 0.70920479 0.0073275 ],[0.38807878 0.72056854 0.00972178],[0.39387637 0.71756142 0.01016817],[0.39622575 0.71261317 0.01015968],[0.3755331  0.70741725 0.00995519],[0.38386029 0.71637911 0.01159001],[0.38924214 0.71508372 0.01239951],[0.39181983 0.7115289  0.01300136]
[ 3.79166692e-01  6.67898357e-01 -3.86049770e-08],[ 0.39594588  0.66735858 -0.00406691],[ 0.40658855  0.6805405  -0.00448716],[ 0.41234288  0.6959359  -0.00376341],[ 0.41878486  0.70600784 -0.00201438],[ 0.40071315  0.70142257 -0.00299551],[ 0.40897447  0.7203005  -0.00276644],[ 0.41462287  0.71872419 -0.00203484],[ 0.41679737  0.713072   -0.00101344],[ 3.93146276e-01  7.06431031e-01 -4.43235622e-04],[0.40354869 0.72159362 0.00107668],[0.41007939 0.71892655 0.00221211],[0.41278255 0.71287829 0.00276616],[0.3880024  0.70725578 0.00185094],[0.39828134 0.72011459 0.00314398],[0.40418905 0.71762532 0.00427395],[0.40699807 0.71247715 0.00469282],[0.3847844  0.70628929 0.00383422],[0.39298475 0.71647477 0.00475497],[0.39866447 0.71598154 0.00578994],[0.40202793 0.71251172 0.00656241]
[ 3.86953264e-01  6.63672924e-01 -5.36272182e-08],[ 0.40421984  0.66451931 -0.00130683],[ 0.41431952  0.67780453 -0.00161374],[ 0.41978633  0.6934464  -0.00164121],[ 0.42653435  0.7027908  -0.00094089],[ 0.40964064  0.69696081 -0.00123254],[ 0.41640291  0.71609646 -0.0021569 ],[ 0.42065671  0.71359944 -0.00261374],[ 0.42154792  0.70775956 -0.00236559],[ 0.40098253  0.70217603 -0.00079208],[4.09960926e-01 7.18903303e-01 1.96554043e-04],[0.41476122 0.71535844 0.00120241],[0.41579464 0.70928562 0.00168384],[ 3.94134283e-01  7.03272998e-01 -4.77389927e-04],[4.03253645e-01 7.17447042e-01 7.08149513e-04],[0.40792155 0.71437484 0.00259875],[0.40902856 0.70894551 0.00348707],[ 3.89156699e-01  7.02220142e-01 -3.28975992e-04],[0.39697164 0.71279883 0.0011609 ],[0.40139455 0.71107286 0.00328988],[0.40281019 0.70667535 0.00473199]
[ 3.93599302e-01  6.61260903e-01 -7.66390045e-08],[ 4.10721034e-01  6.63864672e-01 -5.37444022e-04],[ 0.42035007  0.67813623 -0.00093072],[ 0.42445725  0.69405806 -0.00111967],[ 4.28379744e-01  7.04441607e-01 -5.75367303e-04],[ 0.41670644  0.69357032 -0.00340171],[ 0.42383873  0.7143299  -0.00469175],[ 0.42387855  0.70648426 -0.00462229],[ 0.42096156  0.6979419  -0.00400983],[ 0.40697256  0.6999498  -0.00355819],[ 0.41380438  0.71890634 -0.00320148],[ 0.4151724   0.71105421 -0.00182588],[ 0.41313896  0.70296633 -0.00082935],[ 0.39854568  0.70233822 -0.00352674],[ 0.40461242  0.71713835 -0.00215266],[4.06023055e-01 7.10765183e-01 3.33351811e-04],[0.40423378 0.70377928 0.00150244],[ 0.39160398  0.70220661 -0.00357458],[ 0.39653125  0.71057367 -0.0018038 ],[0.39795214 0.70616239 0.0007838 ],[0.39671513 0.70114088 0.00252844]
[ 3.98791730e-01  6.56444073e-01 -8.20702724e-08],[4.15014058e-01 6.62832737e-01 4.01828816e-04],[ 4.24210995e-01  6.78168416e-01 -2.10248327e-04],[ 0.42897394  0.69391316 -0.00093339],[ 0.43241841  0.7049678  -0.00097619],[ 0.42318642  0.68892729 -0.00453466],[ 0.4284105   0.7107752  -0.00697115],[ 0.42630324  0.70506322 -0.00725533],[ 0.42355832  0.69605809 -0.00664199],[ 0.41374883  0.69432914 -0.00584282],[ 0.41775584  0.71513027 -0.00638867],[ 0.41692579  0.70854557 -0.00491508],[ 0.41517952  0.69984519 -0.00386737],[ 0.40443903  0.69696677 -0.00691069],[ 0.40787575  0.71521848 -0.00656183],[ 0.40784663  0.70908189 -0.00378364],[ 0.40635389  0.70106697 -0.00228449],[ 0.3961356   0.69734496 -0.00797907],[ 0.39846089  0.71038759 -0.00710983],[ 0.39937282  0.70606822 -0.00445799],[ 0.39857996  0.69995075 -0.00255692]
[ 4.03393984e-01  6.51677370e-01 -2.82669941e-08],[0.41817275 0.6578877  0.00229387],[0.42644349 0.67160898 0.00186113],[0.42837322 0.68519098 0.00101965],[4.26742524e-01 6.95430815e-01 5.89993258e-04],[ 0.42905459  0.68099898 -0.00511867],[ 0.43591318  0.70186752 -0.00687523],[ 0.43452829  0.70774865 -0.00558977],[ 0.43130958  0.70557845 -0.00380434],[ 0.42036858  0.68684697 -0.00740665],[ 0.42370379  0.71092856 -0.00839769],[ 0.42172515  0.70888859 -0.00611714],[ 0.41990417  0.70161146 -0.00420007],[ 0.41071177  0.68999314 -0.00906825],[ 0.41374752  0.71231079 -0.00902166],[ 0.41274205  0.70753419 -0.00547959],[ 0.41136679  0.69935083 -0.00322113],[ 0.40160725  0.69038624 -0.0105342 ],[ 0.40262783  0.70728219 -0.00985471],[ 0.40308821  0.70352089 -0.00680858],[ 0.4029004   0.69657725 -0.00447017]
[4.09490287e-01 6.46881759e-01 1.31242990e-08],[0.4236103  0.65434724 0.00411797],[0.43158579 0.66688609 0.00388643],[0.4340128  0.67892873 0.00289012],[0.43325728 0.68858731 0.00215519],[ 0.43654233  0.6737572  -0.00419615],[ 0.44379258  0.69309676 -0.00563527],[ 0.44234741  0.703242   -0.00414105],[ 0.43896031  0.70505548 -0.00224232],[ 0.42934331  0.67880702 -0.00745374],[ 0.43271101  0.70346367 -0.00818599],[ 0.42871252  0.70607626 -0.00570163],[ 0.4260737   0.70133525 -0.00359176],[ 0.42009053  0.68216002 -0.00988751],[ 0.42243814  0.70606816 -0.00958348],[ 0.41936594  0.7060113  -0.00580085],[ 0.41761592  0.69972688 -0.00330525],[ 0.41035751  0.68322492 -0.01195134],[ 0.41070697  0.70232147 -0.01112853],[ 0.4098531   0.70246041 -0.00788298],[ 0.41003257  0.69758582 -0.00525935]
